id,name,email,phone,url,website,mission_statement,photos,distance,address.address1,address.address2,address.city,address.state,address.postcode,address.country,hours.monday,hours.tuesday,hours.wednesday,hours.thursday,hours.friday,hours.saturday,hours.sunday,adoption.policy,adoption.url,social_media.facebook,social_media.twitter,social_media.youtube,social_media.instagram,social_media.pinterest,organization_id
WA127,Paws and Claws Animal Welfare,info@pawsandclaws.us,E-mail only ,https://www.petfinder.com/member/us/wa/puyallup/paws-and-claws-animal-welfare-wa127/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,[],,PO Box 732137,,Puyallup,WA,98444,US,,,,,,,,,,,,,,,wa127
WA91,Willow Run Siberian Husky Rescue,willowrunsibes@nwi.net,,https://www.petfinder.com/member/us/wa/leavenworth/willow-run-siberian-husky-rescue-wa91/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39550/1/?bust=1587828036&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39550/1/?bust=1587828036&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39550/1/?bust=1587828036&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39550/1/?bust=1587828036'}]",,,,Leavenworth,WA,98826,US,,,,,,,,,,,,,,,wa91
WA135,Camano Animal Shelter Association,camanoshelter@yahoo.com,360-387-1902    ,https://www.petfinder.com/member/us/wa/camano-island/camano-animal-shelter-association-wa135/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39253/1/?bust=1595284394&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39253/1/?bust=1595284394&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39253/1/?bust=1595284394&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39253/1/?bust=1595284394'}]",,198 Can Ku Road,,Camano Island,WA,98282,US,,,,,,,,COVID has changed our adoption process. Please view current process on our website under the adoption fee section at: http://camanoanimalshelter.com/01_adopt,http://camanoanimalshelter.com/01_adopt,,,,,,wa135
WA668,Yakima Blind Cat Rescue,susan0171@gmail.com,(509) 965-6863,https://www.petfinder.com/member/us/wa/yakima/yakima-blind-cat-rescue-wa668/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48507/1/?bust=1543081785&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48507/1/?bust=1543081785&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48507/1/?bust=1543081785&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/48507/1/?bust=1543081785'}]",,,,Yakima,WA,98902,US,,,,,,,,,,,,,,,wa668
WA380,ARRF Animal Rescue,arrfanimalrescue@gmail.com,,https://www.petfinder.com/member/us/wa/roslyn/arrf-animal-rescue-wa380/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39422/1/?bust=1575232867&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39422/1/?bust=1575232867&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39422/1/?bust=1575232867&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39422/1/?bust=1575232867'}]",,,,Roslyn,WA,98941,US,,,,,,,,,,,,,,,wa380
WA325,PAWS of Bainbridge Island/North Kitsap,catadopt@PAWSBINK.org,(206) 842-2451,https://www.petfinder.com/member/us/wa/bainbridge-island/paws-of-bainbridge-island-north-kitsap-wa325/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,http://www.PAWSBINK.org,"PAWS of Bainbridge Island and North Kitsap advocates, educates, and provides direct services to nurture the bond of companionship between...","[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/1/?bust=1520008129&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/1/?bust=1520008129&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/1/?bust=1520008129&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/1/?bust=1520008129'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/2/?bust=1520008130&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/2/?bust=1520008130&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/2/?bust=1520008130&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/2/?bust=1520008130'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/3/?bust=1520008173&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/3/?bust=1520008173&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/3/?bust=1520008173&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/3/?bust=1520008173'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/4/?bust=1520008231&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/4/?bust=1520008231&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/4/?bust=1520008231&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/4/?bust=1520008231'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/5/?bust=1520008403&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/5/?bust=1520008403&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/5/?bust=1520008403&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/5/?bust=1520008403'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/6/?bust=1520008505&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/6/?bust=1520008505&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/6/?bust=1520008505&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39378/6/?bust=1520008505'}]",,PO Box 10811,,Bainbridge Island,WA,98110,US,,,,,,,,,,https://www.facebook.com/PAWSBINK/,https://twitter.com/PAWSBINK,https://www.youtube.com/channel/UCRBO7XwJurRsKgrV8uYnL_g,https://www.instagram.com/pawsbainbridgenorthkitsap/,https://www.pinterest.com/PAWSBINK/,wa325
WA441,Shilshole Bay Pet Rescue,shelterpetfoster@hotmail.com,  ,https://www.petfinder.com/member/us/wa/seattle/shilshole-bay-pet-rescue-wa441/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,[],,,,Seattle,WA,98117,US,,,,,,,,,,,,,,,wa441
WA430,The Cat's Meow,adoptions@meowanacortes.org,(360) 588-9900,https://www.petfinder.com/member/us/wa/anacortes/the-cats-meow-wa430/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,http://meowanacortes.org,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/1/?bust=1498350322&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/1/?bust=1498350322&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/1/?bust=1498350322&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/1/?bust=1498350322'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/2/?bust=1498350322&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/2/?bust=1498350322&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/2/?bust=1498350322&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/2/?bust=1498350322'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/3/?bust=1498350323&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/3/?bust=1498350323&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/3/?bust=1498350323&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/3/?bust=1498350323'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/4/?bust=1498350323&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/4/?bust=1498350323&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/4/?bust=1498350323&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/4/?bust=1498350323'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/5/?bust=1498350324&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/5/?bust=1498350324&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/5/?bust=1498350324&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/5/?bust=1498350324'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/6/?bust=1498350324&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/6/?bust=1498350324&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/6/?bust=1498350324&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39461/6/?bust=1498350324'}]",,803 4th Street,,Anacortes,WA,98221,US,,,,,,,,Our adoption process is simple! When you send us an email inquiry about a cat (by clicking on the Ask...,,,,,,,wa430
WA602,Pawsitive Outreach Spay/Neuter Alliance,posna@ifiber.tv,(509) 671-1427,https://www.petfinder.com/member/us/wa/newport/pawsitive-outreach-spay-neuter-alliance-wa602/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,http://pawsitiveoutreach.wix.com/posna,Pawsitive Outreach Spay/Neuter Alliance is a small but very dedicated and effective non-profit group whose main mission is providing affordable...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/44340/1/?bust=1512001727&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/44340/1/?bust=1512001727&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/44340/1/?bust=1512001727&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/44340/1/?bust=1512001727'}]",,,,Newport,WA,99156,US,,,,,,,,"An approved adoption application is required prior to visits, to help assure your new furry family member will be a...",https://pawsitiveoutreach.wixsite.com/posna/adoption-application,https://www.facebook.com/posna99/,,,,,wa602
WA307,People United for Pets,info@pupdogrescue.org,,https://www.petfinder.com/member/us/wa/issaquah/people-united-for-pets-wa307/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,http://www.pupdogrescue.org,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39366/1/?bust=1497490691&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39366/1/?bust=1497490691&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39366/1/?bust=1497490691&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39366/1/?bust=1497490691'}]",,PO Box 1691,,Issaquah,WA,98027,US,,,,,,,,PUP is dedicated to finding the best homes possible for the dogs in our care. Our commitment to potential adopters...,http://www.pupdogrescue.org/adopt.html,https://www.facebook.com/puprescue/,https://twitter.com/PUPDogRescue,,,,wa307
WA573,Little PAWS 4 Rescue,lp4rescue@gmail.com,,https://www.petfinder.com/member/us/wa/lacey/little-paws-4-rescue-wa573/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,We are a group of women bound to save as many dogs as we can that are on the euthanization...,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42702/1/?bust=1532622763&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42702/1/?bust=1532622763&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42702/1/?bust=1532622763&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/42702/1/?bust=1532622763'}]",,,,Lacey,WA,98516,US,,,,,,,,"We will be holding meet and greet adoption events at least once a month, however, if you would like to...",,,,,,,wa573
WA503,Lady's Hope Dog Rescue,info@ladys-hope.org,,https://www.petfinder.com/member/us/wa/seattle/ladys-hope-dog-rescue-wa503/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39521/1/?bust=1500831739&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39521/1/?bust=1500831739&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39521/1/?bust=1500831739&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/39521/1/?bust=1500831739'}]",,,,Seattle,WA,98144,US,,,,,,,,,,,,,,,wa503
WA214,Washington German Shepherd Rescue,Contact@washingtongsd.org,,https://www.petfinder.com/member/us/wa/seattle/washington-german-shepherd-rescue-wa214/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,https://washingtongsd.org/,Washington German Shepherd Rescue is a 501(c)(3) nonprofit organization serving Washington state and the greater Pacific Northwest region. We are...,[],,,,Seattle,WA,98115,US,,,,,,,,,,https://www.facebook.com/WashingtonGermanShepherdRescue,,https://www.youtube.com/channel/UChKEVymPm-O5vmpc8gh2MeA,,,wa214
WA531,Rain City Rescue,raincityrescue@gmail.com,,https://www.petfinder.com/member/us/wa/bonney-lake/rain-city-rescue-wa531/?referrer_id=2f113f8e-5c9f-4549-8db9-e9e1309fd172,,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/1/?bust=1516838831&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/1/?bust=1516838831&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/1/?bust=1516838831&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/1/?bust=1516838831'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/2/?bust=1516838835&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/2/?bust=1516838835&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/2/?bust=1516838835&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/2/?bust=1516838835'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/3/?bust=1516838835&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/3/?bust=1516838835&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/3/?bust=1516838835&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/3/?bust=1516838835'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/4/?bust=1516838836&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/4/?bust=1516838836&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/4/?bust=1516838836&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/4/?bust=1516838836'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/5/?bust=1516838837&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/5/?bust=1516838837&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/5/?bust=1516838837&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/5/?bust=1516838837'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/6/?bust=1516838837&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/6/?bust=1516838837&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/6/?bust=1516838837&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/organization-photos/40902/6/?bust=1516838837'}]",,,,Bonney Lake,WA,98391,US,,,,,,,,,,,,,,,wa531
